vehicle_id 	time 	x_coordinate	y_coordinate	speed	category
1	3.67	905.227	1355.756	16.26111111	1
2	3.67	121.03	534.441	16.39444444	1
3	3.67	480.746	-247.964	14.76388889	1
4	3.67	434.339	1791.613	14.59444444	1
5	3.67	437.785	1799.521	15.69722222	1
6	3.67	477.28	-250.432	18.44166667	1
7	3.67	-2.682	1304.393	15.19166667	1
1	7	851.231	1354.209	15.93888889	1
2	7	174.401	530.632	15.975	1
3	7	480.073	-199.997	14.01944444	1
4	7	434.672	1742.863	14.39722222	1
5	7	438.144	1746.987	15.33333333	1
6	7	476.409	-188.384	18.79166667	1
7	7	48.108	1308.619	15.325	1
8	7	473.458	-227.541	17.90833333	1
9	7	724.173	549.351	16.88611111	1
10	7	470.083	-236.413	18.17222222	1
11	7	922.289	1352.743	15.34722222	1
12	7	727.146	545.94	15.61111111	1
13	7	5.25	1304.773	15.15555556	1
14	7	466.985	-265.124	18.15	1
15	7	736.315	207.485	18.41944444	1
1	10.33	799.134	1352.645	15.33333333	1
2	10.33	227.546	526.975	15.975	1
3	10.33	479.402	-152.187	14.71388889	1
4	10.33	434.994	1695.861	13.80555556	1
5	10.33	438.481	1697.7	14.37222222	1
6	10.33	473.43	-125.611	18.72222222	1
7	10.33	99.388	1309.923	15.45833333	1
8	10.33	472.638	-169.107	17.15555556	1
9	10.33	667.725	545.493	16.78055556	1
10	10.33	469.231	-175.736	17.975	1
11	10.33	870.337	1351.255	15.61666667	1
12	10.33	678.446	546.522	14.94444444	1
13	10.33	55.725	1309.007	14.73055556	1
14	10.33	466.125	-203.842	18.62222222	1
15	10.33	675.436	193.345	18.66111111	1
16	10.33	31.165	1312.067	16.23055556	1
17	10.33	441.411	1781.116	15.95277778	1
18	10.33	726.757	542.427	16.22777778	1
19	10.33	911.885	1348.944	14.075	1
20	10.33	736.146	539.213	18.56944444	1
21	10.33	105.777	539.038	16.70833333	1
22	10.33	951.195	1346.569	14.24722222	1
23	10.33	764.21	547.076	16.28888889	1
1	13.67	748.8	1347.811	15.21111111	1
2	13.67	279.641	523.596	14.74722222	1
3	13.67	478.716	-103.291	14.5	1
4	13.67	435.306	1650.192	13.88333333	1
5	13.67	438.822	1647.968	15.475	1
6	13.67	469.041	-63.846	18.36944444	1
7	13.67	151.085	1313.427	15.59166667	1
8	13.67	471.833	-111.713	17.48888889	1
9	13.67	612.596	542.458	16.46666667	1
10	13.67	468.404	-116.824	17.37777778	1
11	13.67	819.271	1349.793	15.03888889	1
12	13.67	626.098	546.344	15.94166667	1
13	13.67	103.295	1310.001	14.22777778	1
14	13.67	465.264	-142.473	18.17777778	1
15	13.67	616.326	179.615	17.75	1
16	13.67	84.543	1313.129	15.8	1
17	13.67	441.766	1729.239	15.17222222	1
18	13.67	673.531	540.795	15.49722222	1
19	13.67	864.393	1347.584	14.43055556	1
20	13.67	673.856	537.303	18.47777778	1
21	13.67	162.236	537.09	17.16111111	1
22	13.67	902.92	1345.186	14.42222222	1
23	13.67	709.553	545.401	16.2	1
24	13.67	136.844	540.33	17.04722222	1
25	13.67	915.402	1356.048	14.61111111	1
26	13.67	477.562	-270.53	18.27777778	1
1	17	701.114	1342.646	14.43888889	1
2	17	324.047	520.76	11.95833333	1
3	17	478.037	-54.967	14.5	1
4	17	435.628	1603.141	14.18055556	1
5	17	439.182	1595.341	15.55555556	1
6	17	464.301	-3.134	18.325	1
7	17	203.236	1315.489	15.725	1
8	17	471.015	-53.419	17.48888889	1
9	17	557.62	540.445	16.46666667	1
10	17	467.597	-59.304	17.75555556	1
11	17	770.131	1348.385	14.45833333	1
12	17	572.387	545.052	16.30555556	1
13	17	151.266	1310.955	14.04444444	1
14	17	464.425	-82.669	17.70833333	1
15	17	558.282	166.999	18.23611111	1
16	17	135.761	1314.147	14.69444444	1
17	17	441.819	1678.789	15.43333333	1
18	17	623.553	539.264	14.50277778	1
19	17	816.886	1346.223	14.08055556	1
20	17	616.141	535.547	14.275	1
21	17	218.986	534.549	16.82222222	1
22	17	855.951	1343.84	13.76666667	1
23	17	656.676	543.78	15.54166667	1
24	17	193.695	536.273	17.33333333	1
25	17	866.101	1354.635	14.74722222	1
26	17	476.701	-209.201	18.18611111	1
27	17	437.959	1774.11	14.68055556	1
28	17	480.88	-257.518	17.49444444	1
29	17	473.907	-259.523	18.68333333	1
30	17	730.164	206.056	18.25555556	1
31	17	-16.502	1304.118	13.64166667	1
32	17	83.445	540.632	18.8	1
1	20.33	650.008	1338.431	15.65555556	1
2	20.33	359.331	518.108	9.125	1
3	20.33	477.362	-6.806	14.07777778	1
4	20.33	435.952	1555.876	14.18055556	1
5	20.33	439.522	1544.528	15.17777778	1
6	20.33	461.143	56.892	16.6	1
7	20.33	255.816	1317.603	15.80277778	1
8	20.33	470.197	4.876	17.48888889	1
9	20.33	511.637	538.795	9.794444444	1
10	20.33	466.769	-0.268	17.69444444	1
11	20.33	722.653	1347.025	14.30555556	1
12	20.33	517.462	545.455	16.66944444	1
13	20.33	199.582	1313.998	15.03611111	1
14	20.33	463.601	-23.931	18.12222222	1
15	20.33	497.402	154.191	18.84444444	1
16	20.33	184.55	1317.899	15.45	1
17	20.33	439.083	1626.12	15.95277778	1
18	20.33	574.143	538.057	15.23055556	1
19	20.33	770.563	1344.896	13.725	1
20	20.33	582.675	534.869	6.563888889	1
21	20.33	274.184	530.958	16.36944444	1
22	20.33	810.191	1342.53	13.98611111	1
23	20.33	604.205	542.264	15.28888889	1
24	20.33	251.082	532.449	17.13888889	1
25	20.33	817.829	1353.253	14.23055556	1
26	20.33	475.865	-149.566	17.86388889	1
27	20.33	438.298	1724.52	14.825	1
28	20.33	480.052	-198.502	17.91944444	1
29	20.33	473.022	-196.426	19.17777778	1
30	20.33	670.408	192.177	18.35555556	1
31	20.33	29.637	1307.769	14.06666667	1
32	20.33	146.856	536.107	19.34166667	1
33	20.33	691.146	196.547	16.74444444	1
34	20.33	717.201	546.665	16.90555556	1
35	20.33	180.573	115.178	17.88888889	1
36	20.33	916.525	1352.578	15.72777778	1
37	20.33	470.163	-242.139	18.57222222	1
38	20.33	733.097	539.119	16.35833333	1
39	20.33	751.039	543.171	16.98888889	1
40	20.33	738.096	204.557	17.93055556	1
41	20.33	434.196	1812.499	15.60555556	1
42	20.33	467.132	-275.585	18.61111111	1
43	20.33	477.683	-279.19	18.32222222	1
1	23.67	599.415	1337.511	14.08611111	1
